match_id,kickoff_utc,home,away,actual_h,actual_a,actual_outcome,model_name,lambda_h,lambda_a,p_home,p_draw,p_away,rps,nll,rmse_h,rmse_a,inference_run_id,cadence_mode
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,mean_rate_poisson,1.3240561110282048,1.3240561110282048,0.3694459101779029,0.2611081796441941,0.3694459101779029,0.2670443703692762,4.703366706214433,2.675943888971795,1.3240561110282048,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,negbin_glm,3.140037255738941,0.3945456546610597,0.8977042318800821,0.0782031593800509,0.0240926087398669,0.0055224389855681,2.135698081808795,0.8599627442610589,0.3945456546610597,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,poisson_glm,2.672708779527553,0.5668517018846855,0.8188194821170018,0.1252044619275192,0.0559760559554788,0.0179798494503411,2.485244382568414,1.3272912204724472,0.5668517018846855,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,random_forest,2.339927472534774,0.457197182663746,0.7980071085660956,0.1459007793784177,0.0560921120554867,0.0219737266123371,2.5746987485624366,1.6600725274652262,0.457197182663746,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,ridge,2.1122839065267343,0.1380788395677958,0.8436599927317171,0.1384072889093127,0.0179327183589701,0.0123818901301944,2.437337447448396,1.8877160934732655,0.1380788395677958,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,sarimax,2.395140800634014,1e-06,0.9088360853148942,0.0911638235213457,9.116375992827767e-08,0.0041554296703607,2.0794275568074676,1.6048591993659862,1e-06,e8ecb3032a4648ddb7610e60760acab9,frozen
1489397,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,0,xgboost,2.645836353302002,0.4852529764175415,0.8324207586625281,0.1205312788971996,0.0470479624402723,0.0151481564485119,2.417194292245369,1.354163646697998,0.4852529764175415,e8ecb3032a4648ddb7610e60760acab9,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,bayesian_poisson,1.639700446566401,0.9225065577410396,0.5423735677623899,0.2460936396773712,0.2115327925602388,0.1694576046678183,2.5622070043074405,1.639700446566401,0.9225065577410396,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,mean_rate_poisson,1.3240561110282048,1.3240561110282048,0.3694459101779029,0.2611081796441941,0.3694459101779029,0.1364902805471791,2.6481122220564095,1.3240561110282048,1.3240561110282048,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,negbin_glm,1.5850246312173208,0.9322616193438412,0.5263295287845736,0.2518725283240425,0.2217979428913838,0.1631085501707204,2.517286250561162,1.5850246312173208,0.9322616193438412,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,poisson_glm,1.7099117118258824,1.0192193013682354,0.535665559890668,0.239322771651893,0.225011668457439,0.1687839214974916,2.7291310131941175,1.7099117118258824,1.0192193013682354,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,random_forest,1.806873798315328,0.90637566083529,0.5860542451845652,0.2283825881740805,0.1855631666413543,0.1889466335564087,2.713249459150618,1.806873798315328,0.90637566083529,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,ridge,1.60957913936603,1.0618814471488356,0.5009535837654201,0.2485352143310051,0.2505112019035747,0.1568551776832956,2.6714605865148657,1.60957913936603,1.0618814471488356,0f03466c09934ccea8e6890146369b72,frozen
